bird_id,theme,head,eyes,body,tail,wingLeft,wingRight,feet,beak
2330,sunkissed,var0,1f976,var0,var0,var0,var0,var0,1f976
2331,red,var3,1f32b,var3,1fa78,1fa78,var3,var3,var4
2332,red,var1,1f32b,var1,1f30b,var1,var1,var1,var0
2333,pumpkin,var0,1f32b,var0,var0,1fa78,1fa78,var0,var4
2334,bandicoot,var4,1f970,var4,var4,1fa78,1fa78,var4,1f970
2335,bandicoot,var2,1f976,var2,var2,var2,1f525,var2,1f976
2337,defaultyellow,var0,1f618,var0,var0,goldtrim,var0,var0,1f618
2338,defaultyellow,var4,rasta,var4,var4,var4,2694-fe0f,var4,rasta
2339,sakura,var3,1f620,var3,var3,var3,goldtrim,var3,1f620
2340,copper,var1,1f970,var1,var1,2694-fe0f,var1,var1,1f970
