bird_id,theme,head,eyes,body,tail,wingLeft,wingRight,feet,beak
1987,ocean,polkadot,1f62c,var0,polkadot,var0,var0,var0,1f62c
1988,denim,var4,1f92f,var4,var4,1fa78,1fa78,var4,1f92f
1989,defaultyellow,1f525,1f60d,var3,1f525,var3,1f525,var3,1f60d
1990,hymn,var2,1f970,var2,var2,var2,1f9be,var2,1f970
1991,grafitti,var4,1f60d,var4,1f9be,var4,1f9be,var4,1f60d
1992,chilipepper,1f525,1f618,var0,1f525,var0,1f525,var0,1f618
1993,lola,var2,263a-fe0f,var2,var2,1f98b,1f98b,var2,263a-fe0f
1994,mint,1f30b,1f618,var3,1f30b,1f30b,var3,var3,1f618
1995,defaultyellow,1f48e,1f618,var3,var3,var3,var3,var3,1f618
1996,ocean,1f48e,1f60e,var2,var2,var2,var2,var2,1f60e
1997,seafoam,1f30b,rasta,var1,var1,var1,1f30b,var1,rasta
1998,copper,var2,1f60e,var2,2694-fe0f,var2,var2,var2,1f60e
1999,hymn,1f48e,1f970,var0,1f48e,var0,var0,var0,1f970
2000,defaultyellow,1f916,1f60d,var2,1f916,1f916,var2,var2,1f60d
2001,pumpkin,var1,1f92f,var1,1f525,var1,var1,var1,1f92f
2002,blue,var1,rasta,var1,var1,var1,1f30a,var1,rasta
2003,defaultyellow,1f9be,1f60d,var2,var2,1f9be,1f9be,var2,1f60d
2004,duckeggblue,1f916,1f62c,var3,1f916,1f916,var3,var3,1f62c
2005,defaultyellow,1f409,1f60e,var3,var3,var3,1f409,var3,1f60e
2006,chilipepper,1fa78,rasta,var1,var1,1fa78,var1,var1,rasta
2007,hymn,cyberbird,1f60d,var3,var3,cyberbird,var3,var3,1f60d
2008,pumpkin,var3,1f92f,var3,var3,1f525,var3,var3,1f92f
2009,defaultyellow,2694-fe0f,1f92f,var0,var0,2694-fe0f,2694-fe0f,var0,1f92f
2010,pistachio,1f9be,1f62c,var0,var0,var0,var0,var0,1f62c
2011,gold,var4,1f60f,var4,cyberbird,cyberbird,var4,var4,1f60f
2012,defaultyellow,1f32a-fe0f,1f92f,var2,1f308_tail,1f32a-fe0f,1f32a-fe0f,var2,1f92f
2013,blue,var3,1f60e,var3,1f32a-fe0f,var3,1f32a-fe0f,var3,1f60e
2014,sunkissed,var1,1f618,var1,var1,2600,var1,var1,1f618
2015,mango,var0,263a-fe0f,var0,var0,polkadot,var0,var0,263a-fe0f
2016,seafoam,goldtrim,1f92f,var3,var3,goldtrim,var3,var3,1f92f
2017,red,var4,1f976,var4,var4,var4,var4,var4,1f976
2018,oddworldabe,1f98b,1f60e,var4,var4,var4,var4,var4,1f60e
2019,defaultyellow,var0,rasta,var0,2694-fe0f,2694-fe0f,var0,var0,rasta
2020,olive,1f9be,1f609,var1,var1,var1,1f9be,var1,1f609
2022,retrosteel,1f30a,1f92f,var4,var4,1f30a,var4,var4,1f92f
2023,defaultyellow,var0,1f60d,var0,var0,var0,goldtrim,var0,1f60d
2024,denim,1f4a7,1f32b,var1,var1,var1,1f4a7,var1,var2
2025,green,1f9be,1f60e,var1,1f9be,var1,1f9be,var1,1f60e
2026,eggplant,1f30a,1f62c,var3,var3,1f30a,1f30a,var3,1f62c
2027,hymn,1f4a7,1f60d,var4,var4,var4,1f4a7,var4,1f60d
2028,lola,var3,1f60f,var3,var3,1f525,1f525,var3,1f60f
2029,lola,var3,1f609,var3,1fa78,var3,1fa78,var3,1f609
2030,nightwing,var0,1f970,var0,1f916,var0,1f916,var0,1f970
2031,seafoam,var0,1f60d,var0,1fa78,var0,1fa78,var0,1f60d
2032,defaultyellow,polkadot,1f62c,var1,polkadot,var1,polkadot,var1,1f62c
2033,lola,1f98b,1f32b,var1,var1,1f98b,1f98b,var1,var4
2034,lola,var2,263a-fe0f,var2,var2,1f525,var2,var2,263a-fe0f
2035,eggplant,var0,1f970,var0,1f30a,1f30a,var0,var0,1f970
2036,lola,1f525,1f60e,var2,var2,var2,var2,var2,1f60e
2037,lola,var0,rasta,var0,var0,var0,var0,var0,rasta
2038,bandicoot,var2,var0,var2,var2,var2,1f525,var2,1f430
2039,red,1fa78,263a-fe0f,var4,1fa78,var4,var4,var4,263a-fe0f
2040,duckeggblue,var0,1f62c,var0,1f916,var0,1f916,var0,1f62c
2041,seafoam,1f409,1f62c,var2,var2,var2,var2,var2,1f62c
2042,seafoam,1f409,1f60d,var1,var1,1f409,var1,var1,1f60d
2043,retrosteel,1f30a,263a-fe0f,var2,var2,var2,1f30a,var2,263a-fe0f
2044,defaultyellow,1f30b,1f92f,var3,1f419_tail,1f30b,1f30b,var3,1f92f
2045,puff,1f9be,1f970,var2,var2,var2,var2,var2,1f970
2046,nightwing,var4,1f970,var4,var4,1f9be,var4,var4,1f970
2047,defaultyellow,var2,var2,var2,var2,var2,var2,var2,1f9db-200d-2642-fe0f
2048,chilipepper,var3,1f60d,var3,1f525,var3,var3,var3,1f60d
2049,seafoam,var3,1f60e,var3,1f409,var3,var3,var3,1f60e
2050,seafoam,var4,1f609,var4,1f409,1f409,1f409,var4,1f609
2051,defaultyellow,1f48e,1f618,var0,1f48e,1f48e,var0,var0,1f618
2052,hell,var2,1f32b,var2,var2,var2,cyberbird,var2,var1
2053,copper,var1,1f32b,var1,var1,var1,var1,var1,var2
